Start,End,Field,Sport or Event Type,Event Name,Organization,Event Status
5/18/2026 6:00 p.m.,5/18/2026 8:00 p.m., Soccer 01, Soccer - Regulation,Spring League Match,East Side FC,Approved
5/18/2026 8:00 p.m.,5/18/2026 10:00 p.m., Soccer 01, Soccer - Non Regulation,Adult Pickup,Brooklyn Soccer Club,Approved
5/19/2026 7:00 p.m.,5/19/2026 9:00 p.m., Soccer 02, Soccer - Regulation,Youth Practice,Riverdale YMCA,Approved
5/20/2026 5:00 p.m.,5/20/2026 7:00 p.m., Softball 01, Softball (Adult),League Game,Park Slope Softball,Approved
5/22/2026 6:00 p.m.,5/22/2026 8:00 p.m., Softball 01, Softball (Little league),Practice,Bronx Little League,Approved
5/21/2026 4:00 p.m.,5/21/2026 6:00 p.m., Baseball 01, Baseball - Adults,Sunset Game,NYC Baseball Co-op,Approved
5/23/2026 10:00 a.m.,5/23/2026 12:00 p.m., Basketball 01, Basketball,Open Run,Manhattan Hoops,Approved
5/24/2026 9:00 a.m.,5/24/2026 11:00 a.m., Basketball 01, Basketball - Youth,Clinic,Queens YMCA,Approved
5/23/2026 1:00 p.m.,5/23/2026 3:00 p.m., Soccer 02, Flag Football - Youth,Saturday League,Astoria Flag,Approved
5/24/2026 4:00 p.m.,5/24/2026 6:00 p.m., Soccer 02, Soccer - Regulation,Sunday Match,East Side FC,Approved
5/22/2026 7:00 p.m.,5/22/2026 9:00 p.m., Baseball 01, Baseball - Adults,Evening Game,NYC Baseball Co-op,Approved
1/1/2026 12:00 a.m.,12/31/2027 11:55 p.m., Soccer 03, Full Closure,Field Renovation,NYC Parks,Approved
